HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2457278.84487 2015-09-13.3424231 bg 1.38 15.738 13.050 0.018 23.128 0.390 V
2457278.84581 2015-09-13.3433677 bg 1.43 15.822 13.086 0.018 22.368 0.362 V
2457286.67333 2015-09-21.1706646 bg 1.62 15.694 13.033 0.019 23.485 0.408 V
2457286.67557 2015-09-21.1729070 bg 1.57 15.723 13.029 0.018 23.581 0.398 V
2457287.83307 2015-09-22.3303768 bg 1.43 15.724 13.091 0.019 22.258 0.397 V
2457287.83400 2015-09-22.3313103 bg 1.42 15.775 13.083 0.018 22.433 0.378 V
2457287.83493 2015-09-22.3322340 bg 1.43 15.722 13.046 0.019 23.206 0.400 V
2457288.66107 2015-09-23.1583576 bg 1.54 15.473 13.038 0.024 23.378 0.515 V
2457288.66234 2015-09-23.1596332 bg 1.69 14.959 12.974 0.036 24.797 0.810 V
2457288.66362 2015-09-23.1609083 bg 1.49 14.773 12.832 0.038 28.239 0.961 V
#2457290.66001 2015-09-25.1572568 bg 1.69 99.990 99.990 99.990 99.990 99.990 V
2457291.65574 2015-09-26.1529660 bg 1.58 13.272 11.994 0.069 61.090 3.820 V
2457291.65707 2015-09-26.1542854 bg 1.63 14.323 12.760 0.053 30.200 1.458 V
2457291.65832 2015-09-26.1555427 bg 1.58 14.890 12.798 0.032 29.156 0.860 V
2457292.65222 2015-09-27.1494177 bg 1.48 15.125 12.933 0.030 25.742 0.698 V
2457292.65348 2015-09-27.1506810 bg 1.50 15.055 13.056 0.035 22.985 0.737 V
2457292.65478 2015-09-27.1519793 bg 1.49 15.394 12.950 0.024 25.342 0.546 V
2457294.72917 2015-09-29.2263317 bg 1.44 15.467 12.943 0.022 25.528 0.514 V
2457294.73044 2015-09-29.2276062 bg 1.49 15.366 12.889 0.023 26.823 0.561 V
2457294.73173 2015-09-29.2288954 bg 1.50 14.975 13.012 0.036 23.927 0.790 V
2457297.80580 2015-10-02.3029030 bg 1.41 15.856 13.125 0.018 21.560 0.352 V
2457297.80707 2015-10-02.3041799 bg 1.40 15.633 13.120 0.022 21.666 0.431 V
