HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
2638.5993 4.701 5.1 4.795 4.734 4.702 0.022 0.037 0.029 0.023 0.021 A 32655
2640.59973 4.64 4.892 4.684 4.664 4.641 0.023 0.031 0.028 0.022 0.022 A 32965
2642.59752 4.695 5.039 4.753 4.714 4.699 0.024 0.038 0.028 0.023 0.022 A 33249
#2644.59334 29.999 29.999 29.999 29.999 29.999 0.024 0.04 0.048 0.03 0.024 C 33552
2646.57498 4.679 5.046 4.769 4.71 4.683 0.024 0.031 0.025 0.023 0.022 A 33846
2649.57359 4.637 4.76 4.615 4.633 4.629 0.023 0.029 0.036 0.024 0.023 A 34099
2651.57865 4.654 4.899 4.676 4.666 4.651 0.025 0.034 0.037 0.027 0.025 A 34411
2655.61304 4.925 5.204 4.997 4.962 4.934 0.024 0.038 0.033 0.027 0.024 A 35222
2658.61394 4.662 4.907 4.686 4.671 4.658 0.025 0.036 0.034 0.024 0.024 A 35589
2660.61607 4.763 5.062 4.806 4.785 4.764 0.037 0.045 0.04 0.035 0.034 A 35930
#2662.61291 4.647 4.834 4.619 4.641 4.638 0.023 0.04 0.058 0.03 0.027 D 36270
2664.60655 4.633 4.894 4.682 4.651 4.631 0.023 0.036 0.03 0.023 0.022 A 36611
2666.60396 4.9 5.177 4.993 4.949 4.908 0.025 0.032 0.025 0.023 0.022 A 36937
2666.63378 4.62 4.802 4.593 4.621 4.621 0.03 0.038 0.049 0.03 0.036 A 36950
2668.60961 4.63 4.831 4.634 4.635 4.624 0.023 0.033 0.034 0.022 0.021 A 37262
2672.60328 4.63 4.804 4.583 4.614 4.619 0.025 0.039 0.052 0.03 0.029 B 37910
2672.63322 4.657 4.985 4.723 4.686 4.656 0.029 0.038 0.035 0.029 0.033 A 37923
2674.591 4.894 5.117 4.979 4.952 4.913 0.025 0.042 0.037 0.026 0.024 A 38248
2676.57715 4.645 4.947 4.718 4.68 4.642 0.023 0.039 0.036 0.025 0.022 A 38608
2676.60714 4.634 4.859 4.663 4.644 4.63 0.03 0.037 0.047 0.029 0.034 A 38621
2678.56251 4.922 5.132 4.994 4.973 4.936 0.023 0.039 0.029 0.023 0.022 A 38944
2680.56515 4.635 4.95 4.693 4.656 4.635 0.026 0.041 0.03 0.024 0.025 A 39275
2684.58503 4.636 4.954 4.721 4.678 4.639 0.028 0.038 0.038 0.028 0.026 A 39972
2686.59138 4.642 4.93 4.682 4.659 4.641 0.029 0.039 0.042 0.028 0.026 A 40342
#2688.58905 99.999 5.133 4.991 99.999 99.999 0.029 0.033 0.029 0.026 0.025 C 40705
2690.5878 4.651 4.983 4.727 4.682 4.65 0.025 0.05 0.04 0.026 0.025 A 41073
2692.58512 4.645 4.931 4.689 4.659 4.644 0.023 0.045 0.041 0.025 0.022 A 41423
2694.58468 4.63 4.764 4.577 4.606 4.62 0.028 0.034 0.048 0.034 0.033 B 41747
2698.57681 4.944 5.206 5.024 4.984 4.949 0.026 0.036 0.026 0.023 0.024 A 42484
2700.57874 4.912 5.215 5.02 4.961 4.921 0.023 0.029 0.024 0.021 0.021 A 42872
2701.53354 4.88 5.095 4.958 4.928 4.893 0.029 0.046 0.038 0.03 0.034 A 43042
2702.57054 4.955 5.193 5.024 4.997 4.963 0.023 0.03 0.024 0.022 0.022 A 43250
2704.5592 4.67 5.015 4.748 4.702 4.672 0.022 0.032 0.022 0.021 0.022 A 43629
2707.52588 4.617 4.849 4.645 4.628 4.616 0.029 0.037 0.044 0.031 0.034 A 44162
2712.54098 4.935 5.169 5.006 4.974 4.943 0.027 0.029 0.026 0.024 0.025 A 45083
2714.5466 4.948 5.185 5.013 4.99 4.952 0.028 0.032 0.026 0.023 0.026 A 45478
2718.498 4.688 5.062 4.775 4.723 4.688 0.024 0.035 0.027 0.023 0.022 A 45996
#2721.49351 4.648 4.788 4.655 4.653 4.647 0.066 0.057 0.061 0.061 0.064 D 46424
2723.50503 4.874 5.127 4.971 4.922 4.88 0.025 0.03 0.025 0.023 0.022 A 46817
2725.50657 4.903 5.136 4.978 4.944 4.909 0.025 0.029 0.027 0.023 0.023 A 47209
2727.50241 4.662 4.953 4.706 4.676 4.657 0.024 0.03 0.026 0.023 0.023 A 47597
2729.50274 4.897 5.425 5.114 4.962 4.911 0.026 0.033 0.028 0.024 0.025 A 48006
2729.50274 4.901 5.089 4.948 4.931 4.907 0.026 0.033 0.028 0.024 0.025 A 48006
2733.49047 4.677 5.032 4.759 4.702 4.675 0.025 0.031 0.027 0.023 0.022 A 48559
2735.49087 4.643 4.871 4.653 4.639 4.636 0.026 0.032 0.034 0.025 0.025 A 48965
2740.47338 4.854 5.074 4.93 4.907 4.876 0.03 0.031 0.026 0.025 0.028 A 49897
2805.938 4.706 5.038 4.78 4.736 4.707 0.03 0.039 0.031 0.025 0.027 A 59289
2809.94139 4.673 5.005 4.763 4.714 4.673 0.026 0.032 0.03 0.024 0.024 A 59633
2816.94398 4.921 5.016 4.906 4.917 4.908 0.029 0.04 0.04 0.029 0.031 A 60988
#2833.92439 29.999 29.999 29.999 29.999 29.999 0.024 0.027 0.027 0.022 0.023 C 63234
2838.8879 4.607 4.878 4.653 4.622 4.603 0.024 0.03 0.029 0.023 0.023 A 64001
2841.85522 4.618 4.839 4.64 4.622 4.612 0.024 0.028 0.03 0.021 0.024 A 64619
2845.92748 4.638 4.5 4.467 4.566 4.619 0.023 0.036 0.033 0.024 0.023 A 65343
2851.94075 4.637 4.815 4.666 4.674 4.658 0.025 0.029 0.029 0.022 0.023 A 65571
#2854.84503 29.999 29.999 29.999 29.999 29.999 0.021 0.026 0.027 0.02 0.021 C 65970
#2858.85429 29.999 29.999 29.999 29.999 29.999 0.021 0.026 0.028 0.021 0.021 C 66414
2860.85708 4.684 5.0 4.771 4.73 4.693 0.022 0.03 0.025 0.021 0.021 A 66844
2867.79328 4.587 4.594 4.485 4.54 4.569 0.025 0.033 0.03 0.023 0.024 A 67829
2871.91305 4.592 4.575 4.48 4.542 4.577 0.024 0.028 0.028 0.024 0.025 A 68067
2875.86416 4.641 4.82 4.658 4.656 4.64 0.021 0.026 0.028 0.02 0.02 A 68647
2879.81041 4.675 4.977 4.746 4.708 4.678 0.023 0.029 0.031 0.026 0.023 A 69325
#2883.85127 29.999 29.999 29.999 29.999 29.999 0.022 0.027 0.026 0.021 0.021 C 69712
2885.80753 5.621 7.301 7.155 6.666 6.138 0.025 0.03 0.036 0.026 0.028 A 70099
2885.80753 4.595 4.683 4.592 4.598 4.587 0.025 0.03 0.036 0.026 0.028 A 70099
